u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
1,4,1.5300000000000635,1.7000000000000637,0.17000000000000015,False,-5.297488510433695,True,False
1,6,1.5300000000000635,1.5300000000000635,0.0,True,0.17108131204207844,False,False
1,11,1.5300000000000635,1.7000000000000637,0.17000000000000015,True,0.12758912243489373,True,True
2,5,1.5300000000000635,1.5300000000000635,0.0,True,0.240802531506767,False,False
2,7,1.5300000000000635,1.7000000000000637,0.17000000000000015,True,0.14510612585977878,True,True
2,13,1.5300000000000635,1.7000000000000637,0.17000000000000015,False,-6.129963055683342,True,False
4,5,1.5300000000000635,1.5300000000000635,0.0,False,-6.347245170974451,False,True
4,7,1.5300000000000635,1.7000000000000637,0.17000000000000015,False,-0.7634913012405014,True,False
4,10,1.5300000000000635,1.5300000000000635,0.0,True,0.3780677023133132,False,False
4,11,1.5300000000000635,1.5300000000000635,0.0,True,0.34664992356697355,False,False
4,13,1.5300000000000635,1.7000000000000637,0.17000000000000015,False,-6.127063165403013,True,False
6,8,1.5300000000000635,1.1900000000000632,-0.3400000000000003,False,-6.429524994973735,False,True
6,13,1.5300000000000635,1.7000000000000637,0.17000000000000015,True,0.22681589205340735,True,True
8,10,1.5300000000000635,1.1400000000000632,-0.39000000000000035,False,-3.5380115192993697,False,True
8,11,1.5300000000000635,1.010000000000063,-0.5200000000000005,False,-6.558150680417226,False,True
8,12,1.5300000000000635,1.5900000000000636,0.06000000000000005,True,0.2228968616132252,True,True
10,13,1.5300000000000635,1.7000000000000637,0.17000000000000015,True,0.17138258826065456,True,True
11,13,1.5300000000000635,1.7000000000000637,0.17000000000000015,True,0.18117849183039092,True,True
