u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,1,2.370000000000056,4.300000000000015,1.9299999999999589,False,-0.6742558431161909,True,False
0,6,2.370000000000056,3.8100000000000254,1.4399999999999693,False,-3.1531430369297166,True,False
0,8,2.370000000000056,2.600000000000051,0.2299999999999951,False,-0.6140653827738303,True,False
0,9,2.370000000000056,2.370000000000056,0.0,False,-2.3176783053221883,False,True
0,10,2.370000000000056,2.5000000000000533,0.12999999999999723,False,-0.5739776294935167,True,False
0,11,2.370000000000056,4.640000000000008,2.2699999999999516,True,0.22370813106970555,True,True
0,13,2.370000000000056,4.270000000000016,1.8999999999999595,False,-2.2239942492195954,True,False
1,3,2.370000000000056,3.13000000000004,0.7599999999999838,True,0.20084717455737522,True,True
1,4,2.370000000000056,3.1400000000000396,0.7699999999999836,True,0.19130193296966003,True,True
1,5,2.370000000000056,3.0600000000000414,0.6899999999999853,False,-3.525359853390783,True,False
1,6,2.370000000000056,3.1000000000000405,0.7299999999999844,True,0.19264526116559255,True,True
1,9,2.370000000000056,3.1400000000000396,0.7699999999999836,True,0.19823108656909738,True,True
1,10,2.370000000000056,3.1100000000000403,0.7399999999999842,False,-2.6183207620073183,True,False
1,11,2.370000000000056,2.7600000000000477,0.3899999999999917,False,-0.14341099612844677,True,False
1,14,2.370000000000056,2.370000000000056,0.0,True,0.20747199831922006,False,False
1,15,2.370000000000056,3.1000000000000405,0.7299999999999844,True,0.19086345409060002,True,True
1,16,2.370000000000056,3.1100000000000403,0.7399999999999842,True,0.20185979546011587,True,True
2,18,2.370000000000056,2.7600000000000477,0.3899999999999917,False,-0.2771841371857673,True,False
3,12,2.370000000000056,3.350000000000035,0.9799999999999791,True,0.2108024760984859,True,True
3,13,2.370000000000056,3.4200000000000337,1.0499999999999776,True,0.148916604318846,True,True
3,18,2.370000000000056,2.6900000000000492,0.3199999999999932,True,0.02290651758152562,True,True
4,12,2.370000000000056,3.360000000000035,0.9899999999999789,True,0.19770854886928402,True,True
4,18,2.370000000000056,2.6900000000000492,0.3199999999999932,True,0.039388575055101294,True,True
5,12,2.370000000000056,3.270000000000037,0.8999999999999808,True,0.16455433801150054,True,True
5,13,2.370000000000056,3.350000000000035,0.9799999999999791,True,0.33503121875332686,True,True
5,18,2.370000000000056,2.6300000000000505,0.25999999999999446,False,-2.037392338776436,True,False
6,12,2.370000000000056,3.320000000000036,0.9499999999999797,True,0.21647739208275948,True,True
6,13,2.370000000000056,3.400000000000034,1.029999999999978,True,0.15917649745917617,True,True
6,18,2.370000000000056,2.66000000000005,0.2899999999999938,False,-0.047113675713946646,True,False
7,11,2.370000000000056,2.990000000000043,0.6199999999999868,False,-0.1337683051333266,True,False
7,18,2.370000000000056,2.5500000000000522,0.17999999999999616,True,0.18421110445306066,True,True
8,11,2.370000000000056,3.0100000000000424,0.6399999999999864,False,-0.11546458697450013,True,False
8,18,2.370000000000056,2.5800000000000516,0.20999999999999552,False,-3.410254434329608,True,False
9,12,2.370000000000056,3.350000000000035,0.9799999999999791,True,0.2085071032196292,True,True
9,13,2.370000000000056,3.4200000000000337,1.0499999999999776,True,0.14707315869726423,True,True
9,18,2.370000000000056,2.700000000000049,0.32999999999999297,True,0.018895784585930442,True,True
10,12,2.370000000000056,3.3000000000000362,0.9299999999999802,False,-0.4878629049692199,True,False
10,13,2.370000000000056,3.3700000000000347,0.9999999999999787,True,0.33846062540769417,True,True
10,14,2.370000000000056,3.400000000000034,1.029999999999978,False,-0.6062938691434155,True,False
10,18,2.370000000000056,2.710000000000049,0.33999999999999275,False,-0.20623034323312828,True,False
11,12,2.370000000000056,2.6200000000000507,0.24999999999999467,False,-0.1046635306868724,True,False
11,13,2.370000000000056,2.460000000000054,0.08999999999999808,False,-0.009046991590029752,True,False
11,17,2.370000000000056,2.980000000000043,0.609999999999987,False,-0.12606780366020431,True,False
12,14,2.370000000000056,3.0500000000000416,0.6799999999999855,True,0.393732980884958,True,True
12,15,2.370000000000056,3.320000000000036,0.9499999999999797,True,0.2170130817226367,True,True
12,16,2.370000000000056,3.3300000000000356,0.9599999999999795,True,0.22782925532891762,True,True
12,18,2.370000000000056,3.12000000000004,0.749999999999984,False,-0.0449041061369716,True,False
13,15,2.370000000000056,3.3900000000000343,1.0199999999999783,True,0.16055380737099267,True,True
13,18,2.370000000000056,2.940000000000044,0.5699999999999878,False,-0.002861151342769319,True,False
14,15,2.370000000000056,3.880000000000024,1.5099999999999678,True,0.141690124819967,True,True
15,18,2.370000000000056,2.65000000000005,0.27999999999999403,False,-0.060626185567469015,True,False
16,18,2.370000000000056,2.65000000000005,0.27999999999999403,False,-0.04915909800024021,True,False
17,18,2.370000000000056,2.560000000000052,0.18999999999999595,False,-3.6225637261289796,True,False
