edge,baseline_Kc,new_Kc,delta,is_braess
"(0, 7)",0.9100000000002761,0.9900000000002762,0.08000000000000007,False
"(5, 11)",0.9100000000002761,0.9100000000002761,0.0,False
"(2, 4)",0.9100000000002761,0.9400000000002762,0.030000000000000027,False
"(2, 6)",0.9100000000002761,0.9100000000002761,0.0,False
"(1, 4)",0.9100000000002761,0.9100000000002761,0.0,False
"(0, 5)",0.9100000000002761,1.0200000000002762,0.1100000000000001,False
"(4, 6)",0.9100000000002761,0.9100000000002761,0.0,False
"(7, 11)",0.9100000000002761,1.1800000000002764,0.27000000000000024,False
"(2, 7)",0.9100000000002761,0.9900000000002762,0.08000000000000007,False
"(6, 9)",0.9100000000002761,1.0400000000002763,0.13000000000000012,False
"(3, 4)",0.9100000000002761,1.2100000000002764,0.30000000000000027,False
"(0, 11)",0.9100000000002761,1.0000000000002762,0.09000000000000008,False
"(0, 4)",0.9100000000002761,1.0100000000002762,0.10000000000000009,False
"(0, 1)",0.9100000000002761,0.9600000000002762,0.050000000000000044,False
"(4, 7)",0.9100000000002761,0.9100000000002761,0.0,False
"(3, 9)",0.9100000000002761,0.9100000000002761,0.0,False
