K,r,converged,min_eigval,max_eigval,max_real,num_unstable,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11
2.9410000000000065,0.9976099531471649,True,-21.7933865801623,-1.1514003365716785e-14,-3.435351986058226,0,0.0,-0.0746673935698758,0.033940420161570777,-0.12851717748203367,-0.0636538590252461,-0.12838588438045742,-0.018840557348303776,-0.06165683507535606,-0.08974541793922697,-0.18381562010850772,-0.09333053908665824,-0.21510982231511047
2.9420000000000064,0.9976115848345283,True,-21.80083856326935,2.389932865615998e-15,-3.436528668113929,0,0.0,-0.07464188818483755,0.033928813728811395,-0.12847326236225476,-0.06363207163110489,-0.12834206328173287,-0.018834165256118772,-0.06163577599942539,-0.08971474247706962,-0.18375280171173453,-0.09329864981370355,-0.2150363221494765
2.9430000000000063,0.9976132148490412,True,-21.808290532088144,-5.476612862967442e-16,-3.4377053471522485,0,0.0,-0.0746164002619064,0.03391721525541258,-0.1284293773243548,-0.06361029919877345,-0.12829827215017783,-0.018827777495529986,-0.06161473133938602,-0.08968408803686738,-0.18369002635354545,-0.09326678238261046,-0.21496287232727465
2.944000000000006,0.9976148431929935,True,-21.815742486633333,-2.1267165272513134e-15,-3.4388820231763613,0,0.0,-0.07459092978311023,0.03390562473316515,-0.12838552233735223,-0.06358854171279112,-0.12825451095499743,-0.018821394062140236,-0.06159370108040365,-0.08965345459695655,-0.18362729398960334,-0.0932349367708867,-0.21488947279666162
2.945000000000006,0.9976164698686706,True,-21.823194426919564,-1.9122051671416166e-15,-3.4400586961894373,0,0.0,-0.07456547673050212,0.03389404215387075,-0.12834169737030873,-0.06356679915771914,-0.12821077966543967,-0.018815014951558802,-0.06157268520766497,-0.08962284213570396,-0.18356460457563287,-0.0932031129560716,-0.21481612350586607
2.946000000000006,0.9976180948783538,True,-21.830646352961434,4.087795566829061e-15,-3.441235366194643,0,0.0,-0.07454004108615955,0.03388246750934254,-0.12829790239232822,-0.0635450715181398,-0.12816707825079454,-0.018808640159400623,-0.061551683706376745,-0.08959225063150583,-0.18350195806741917,-0.09317131091573506,-0.2147428244031876
2.947000000000006,0.997619718224321,True,-21.838098264773578,-1.4590450288270404e-15,-3.442412033195146,0,0.0,-0.0745146228321847,0.03387090079140503,-0.12825413737255706,-0.06352335877865668,-0.128123406680394,-0.018802269681286548,-0.061530696561766046,-0.08956168006278817,-0.1834393544208084,-0.0931395306274778,-0.2146695754369968
2.9480000000000057,0.9976213399088458,True,-21.845550162370515,-3.4816797681599633e-16,-3.4435886971941034,0,0.0,-0.07448922195070429,0.03385934199189389,-0.12821040228018418,-0.06350166092389468,-0.1280797649236122,-0.018795903512843454,-0.061509723759080294,-0.08953113040800675,-0.18337679359170733,-0.09310777206893145,-0.21459637655573544
2.9490000000000056,0.9976229599341979,True,-21.85300204576682,7.850602230806613e-15,-3.44476535819467,0,0.0,-0.07446383842386965,0.033847791102656066,-0.12816669708444084,-0.06347997793849994,-0.12803615294986526,-0.01878954164970405,-0.06148876528358719,-0.08950060164564692,-0.18331427553608343,-0.09307603521775834,-0.2145232277079161
2.9500000000000055,0.9976245783026437,True,-21.860453914977043,-1.2953175025297818e-15,-3.4459420161999996,0,0.0,-0.0744384722338566,0.033836248115549694,-0.12812302175460052,-0.06345830980713973,-0.12799257072861123,-0.01878318408750693,-0.06146782112057461,-0.08947009375422366,-0.1832518002099647,-0.0930443200516515,-0.21445012884212206
2.9510000000000054,0.9976261950164452,True,-21.86790577001573,-2.48736048813726e-15,-3.447118671213236,0,0.0,-0.07441312336286539,0.03382471302244417,-0.12807937625997892,-0.06343665651450246,-0.12794901822934993,-0.018776830821896608,-0.06144689125535061,-0.08943960671228138,-0.18318936756943952,-0.09301262654833452,-0.21437707990700713
2.9520000000000053,0.9976278100778604,True,-21.875357610897304,-9.495739675507488e-15,-3.448295323237515,0,0.0,-0.0743877917931207,0.03381318581522003,-0.1280357605699339,-0.0634150180452977,-0.12790549542162294,-0.018770481848523445,-0.061425975673243455,-0.0894091404983941,-0.1831269775706566,-0.09298095468556168,-0.21430408085129585
2.953000000000005,0.9976294234891436,True,-21.88280943763629,-4.1309118836294705e-15,-3.449471972275978,0,0.0,-0.0743624775068717,0.03380166648576896,-0.12799217465386545,-0.06339339438425616,-0.12786200227501374,-0.01876413716304376,-0.06140507435960155,-0.08937869509116532,-0.18306463016982497,-0.09294930444111783,-0.214231131623783
2.954000000000005,0.9976310352525458,True,-21.890261250247114,-3.7178992201249825e-15,-3.4506486183317624,0,0.0,-0.07433718048639162,0.0337901550259939,-0.1279486184812153,-0.06337178551612935,-0.12781853875914703,-0.0187577967611195,-0.06138418729979318,-0.08934827046922764,-0.18300232532321345,-0.09291767579281805,-0.21415823217333346
2.955000000000005,0.9976326453703133,True,-21.89771304874425,9.931862328593706e-15,-3.4518252614079863,0,0.0,-0.07431190071397828,0.033778651427808774,-0.12790509202146733,-0.06335019142568998,-0.1277751048436894,-0.018751460638418673,-0.06136331447920692,-0.08931786661124322,-0.18294006298715124,-0.09288606871850807,-0.21408538244888245
2.956000000000005,0.9976342538446888,True,-21.90516483314211,-1.8280703326575987e-15,-3.4530019015077826,0,0.0,-0.07428663817195358,0.033767155683138685,-0.12786159524414717,-0.06332861209773169,-0.12773170049834878,-0.018745128790614983,-0.06134245588325121,-0.08928748349590346,-0.1828778431180271,-0.09285448319606392,-0.21401258239943508
2.9570000000000047,0.9976358606779121,True,-21.912616603455053,4.0690316099062505e-15,-3.454178538634266,0,0.0,-0.07426139284266367,0.03375566778391983,-0.12781812811882226,-0.06330704751706899,-0.12768832569287455,-0.018738801213388077,-0.06132161149735455,-0.08925712110192896,-0.18281566567228988,-0.09282291920339196,-0.21393983197406644
2.9580000000000046,0.9976374658722176,True,-21.92006835969747,3.1839443706945493e-15,-3.4553551727905503,0,0.0,-0.0742361647084789,0.033744187722099486,-0.12777469061510163,-0.0632854976685373,-0.12764498039705732,-0.018732477902423307,-0.0613007813069653,-0.08922677940806947,-0.18275353060644794,-0.09279137671842877,-0.21386713112192127
