K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9,eigval_10,eigval_11
0.8380000000002201,0.9645148813179187,-6.131424880558432,-4.813341412996833,-4.272573004803167,-3.8631829334235177,-3.485580229419025,-3.1901239680894795,-2.998049689384158,-2.4813517697142755,-1.791649098264919,-1.4545002802576346,-0.6844994713487894,-5.43549306778219e-16
0.8390000000002201,0.9646049927433229,-6.139349780875969,-4.8196646692738865,-4.278151940260556,-3.868194418536532,-3.4902299739506923,-3.1943358830447006,-3.001961417829873,-2.4845886392685035,-1.794207828132293,-1.4564280312073108,-0.6854302875323912,7.409798019758004e-16
0.8400000000002201,0.9646947526685805,-6.147273854624245,-4.82598725316314,-4.283730207090773,-3.8732053943475218,-3.494878983165137,-3.198547219615906,-3.0058724138252577,-2.4878250958962753,-1.7967658659526464,-1.4583554455200605,-0.6863609069361897,2.2909279186473125e-15
0.8410000000002201,0.9647841629696078,-6.155197105221978,-4.832309167051751,-4.289307808010465,-3.878215862770734,-3.499527260143601,-3.2027579803504937,-3.009782681636157,-2.4910611414728163,-1.7993232150370049,-1.4602825249132427,-0.6872913305517558,-1.0867895442959684e-15
0.8420000000002201,0.9648732255094551,-6.163119536068073,-4.838630413315038,-4.294884745721582,-3.8832258257107735,-3.5041748079513138,-3.206968167778561,-3.0136922254957446,-2.4942967778612752,-1.801879878674491,-1.4622092710919672,-0.6882215593636618,-2.019331358403768e-15
0.8430000000002201,0.9649619421384165,-6.171041150541797,-4.844950994316589,-4.300461022911498,-3.888235285062692,-3.5088216296375636,-3.2111777844130915,-3.0176010496048407,-2.4975320069128535,-1.8044358601325148,-1.4641356857492147,-0.6891515943495796,8.116881793746256e-16
0.8440000000002201,0.9650503146941378,-6.1789619520028705,-4.851270912408329,-4.30603664225308,-3.8932442427120253,-3.5134677282358,-3.2153868327501156,-3.0215091581321927,-2.5007668304668687,-1.8069911626569728,-1.4660617705659633,-0.6900814364803097,-5.587856478437723e-16
0.8450000000002201,0.965138345001723,-6.186881943791659,-4.857590169930612,-4.311611606404814,-3.8982527005348655,-3.5181131067636864,-3.2195953152689105,-3.0254165552147745,-2.504001250350894,-1.8095457894724176,-1.467987527211277,-0.6910110867198788,-2.398283742460788e-15
0.8460000000002201,0.9652260348738396,-6.194801129229324,-4.863908769212269,-4.3171859180108685,-3.903260660397919,-3.5227577682232165,-3.2238032344321437,-3.029323244958064,-2.5072352683808132,-1.81209974378223,-1.4699129573424232,-0.6919405460255629,4.2748405889618633e-16
0.8470000000002201,0.9653133861108243,-6.202719511617939,-4.870226712570714,-4.322759579701237,-3.9082681241585657,-3.527401715600773,-3.228010592686067,-3.033229231436346,-2.510468886360973,-1.8146530287688225,-1.4718380626049778,-0.6928698153479829,-1.1446059503205262e-15
0.8480000000002201,0.9654004005007855,-6.210637094240653,-4.876544002312022,-4.3283325940917585,-3.913275093664915,-3.5320449518672272,-3.232217392460659,-3.037134518692981,-2.5137021060842293,-1.817205647593785,-1.4737628446329432,-0.693798895631134,-3.930187947120399e-16
0.8490000000002201,0.9654870798197066,-6.2185538803618226,-4.882860640730977,-4.333904963784286,-3.918281570755863,-3.5366874799780073,-3.2364236361698104,-3.0410391107406904,-2.5169349293320695,-1.8197576033980807,-1.4756873050488317,-0.694727787812472,1.099826152701808e-15
0.8500000000002201,0.9655734258315478,-6.226469873227163,-4.889176630111182,-4.339476691366737,-3.9232875572611605,-3.541329302873188,-3.240629326211474,-3.044943011561834,-2.52016735787471,-1.8223088993022132,-1.4776114454637927,-0.6956564928229573,1.5013624731007307e-15
0.8510000000002201,0.9656594402883448,-6.234385076063887,-4.895491972725113,-4.345047779413194,-3.928293055001456,-3.5459704234775775,-3.244834464967834,-3.048846225108685,-2.5233993934711796,-1.824859538406389,-1.4795352674777025,-0.696585011587109,-2.472612043968196e-16
0.8520000000002201,0.9657451249303107,-6.242299492080836,-4.9018066708341905,-4.350618230483983,-3.9332980657883625,-3.550610844700789,-3.249039054805446,-3.0527487553036963,-2.526631037869405,-1.827409523790696,-1.481458772679265,-0.6975133450230779,-4.991023273182894e-16
0.8530000000002201,0.9658304814859328,-6.250213124468628,-4.908120726688864,-4.356188047125801,-3.9383025914245153,-3.5552505694373293,-3.253243098075415,-3.056650606039779,-2.529862292806333,-1.8299588585152773,-1.4833819626461202,-0.6984414940426897,-2.849815711272004e-15
0.8540000000002201,0.9659155116720703,-6.258125976399784,-4.914434142528692,-4.361757231871767,-3.9433066337036182,-3.5598896005666787,-3.257446597113535,-3.0605517811805636,-2.5330931600079882,-1.8325075456204711,-1.4853048389449335,-0.6993694595515056,4.100954831091583e-16
0.8550000000002201,0.9660002171940519,-6.266038051028867,-4.920746920582382,-4.367325787241518,-3.9483101944105035,-3.5645279409533734,-3.261649554240437,-3.0644522845606565,-2.5363236411895804,-1.8350555881270023,-1.4872274031315111,-0.7002972424488783,-3.07330867657978e-16
0.8560000000002201,0.9660845997457701,-6.273949351492616,-4.927059063067906,-4.372893715741319,-3.953313275321199,-3.5691655934470807,-3.2658519717617462,-3.0683521199859123,-2.5395537380555955,-1.837602989036135,-1.4891496567508764,-0.7012248436280111,1.5462790531233132e-15
0.8570000000002201,0.9661686610097763,-6.281859880910085,-4.93337057219253,-4.378461019864125,-3.958315878202965,-3.573802560882687,-3.270053851968231,-3.0722512912336892,-2.542783452299869,-1.8401497513298148,-1.491071601337377,-0.7021522639760003,2.0192711099792767e-16
0.8580000000002201,0.9662524026573746,-6.289769642382755,-4.939681450152918,-4.3840277020896945,-3.963318004814357,-3.5784388460803793,-3.2742551971359313,-3.0761498020531013,-2.5460127856056993,-1.8426958779708746,-1.4929932384147875,-0.7030795043739047,3.0048603816717008e-15
0.8590000000002201,0.9663358263487144,-6.297678638994686,-4.945991699135168,-4.38959376488463,-3.9683196569052814,-3.5830744518457154,-3.2784560095263218,-3.0800476561652705,-2.5492417396459004,-1.8452413719031309,-1.4949145694963835,-0.7040065656967851,-8.244134262819797e-16
0.8600000000002201,0.9664189337328825,-6.3055868738126275,-4.952301321314919,-4.395159210702525,-3.973320836217047,-3.587709380969715,-3.2826562913864388,-3.0839448572635852,-2.5524703160829207,-1.847786236051594,-1.4968355960850575,-0.7049334488137654,-2.1363533254456838e-16
