K,r,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11
2.5420000000000504,0.997945659213924,0.0,-0.08857832163728553,0.009671483101475625,-0.14731435073539823,-0.05894750284176913,-0.12606112100731415,0.009947935773037918,-0.05115392580023858,-0.06154872282785397,-0.12810558177789064,-0.06630517384326204,-0.20701941442694355
2.5430000000000503,0.9979472831259798,0.0,-0.0885433410863203,0.009667641425708149,-0.14725612766532553,-0.058924145542125966,-0.1260112896647381,0.00994400534905464,-0.051133701978611876,-0.06152433907344375,-0.12805493938683699,-0.06627891874222658,-0.20693743853587834
2.54400000000005,0.9979489051098722,0.0,-0.08850838821209359,0.009663802815974279,-0.14719795071738676,-0.058900806815848604,-0.12596149780644586,0.009940078037017434,-0.051113494185084964,-0.061499974703596826,-0.12800433712621712,-0.06625268449802262,-0.20685552776887997
2.54500000000005,0.9979505251686577,0.0,-0.0884734629817006,0.009659967268586906,-0.14713981983665908,-0.058877486640707924,-0.12591174538540353,0.009936153833223145,-0.0510933024005592,-0.06147562969512122,-0.12795377494822177,-0.066226471085721,-0.20677368204810154
2.54600000000005,0.997952143305387,0.0,-0.08843856536228896,0.00965613477986478,-0.14708173496830726,-0.05885418499451042,-0.12586203235465215,0.009932232733974524,-0.05107312660596634,-0.0614513040248619,-0.12790325280511772,-0.06620027848043229,-0.20669190129582043
2.54700000000005,0.9979537595231047,0.0,-0.0884036953210583,0.009652305346132654,-0.14702369605758298,-0.058830901855098074,-0.1258123586673074,0.009928314735580217,-0.0510529667822685,-0.061426997669700986,-0.12785277064924772,-0.06617410665730691,-0.2066101854344384
2.54800000000005,0.9979553738248497,0.0,-0.08836885282526037,0.009648478963721062,-0.14696570304982526,-0.05880763720034846,-0.12576272427655963,0.009924399834354643,-0.05103282291045819,-0.06140271060655768,-0.12780232843303058,-0.06614795559153515,-0.20652853438648128
2.5490000000000497,0.9979569862136546,0.0,-0.08833403784219883,0.00964465562896664,-0.1469077558904598,-0.0587843910081743,-0.12571312913567348,0.009920488026618213,-0.05101269497155794,-0.06137844281238775,-0.12775192610896025,-0.06612182525834645,-0.20644694807459818
2.5500000000000496,0.9979585966925456,0.0,-0.08829925033922915,0.00964083533821186,-0.14684985452499894,-0.05876116325652366,-0.12566357319798785,0.00991657930869717,-0.05099258294662053,-0.06135419426418398,-0.12770156362960655,-0.06609571563301012,-0.20636542642156194
2.5510000000000495,0.997960205264544,0.0,-0.08826449028375863,0.00963701808780488,-0.14679199889904176,-0.05873795392338005,-0.125614056416916,0.009912673676923394,-0.05097248681672899,-0.06132996493897601,-0.12765124094761476,-0.06606962669083494,-0.2062839693502688
2.5520000000000493,0.9979618119326639,0.0,-0.08822975764324612,0.00963320387409996,-0.14673418895827356,-0.05871476298676197,-0.125564578745945,0.009908771127634775,-0.05095240656299627,-0.061305754813829993,-0.12760095801570515,-0.06604355840716898,-0.20620257678373774
2.5530000000000492,0.9979634166999141,0.0,-0.08819505238520202,0.009629392693457093,-0.14667642464846584,-0.05869159042472303,-0.12551514013863568,0.009904871657174958,-0.05093234216656534,-0.061281563865848744,-0.1275507147866731,-0.06601751075739953,-0.2061212486451105
2.554000000000049,0.9979650195692975,0.0,-0.08816037447718823,0.009625584542242075,-0.14661870591547624,-0.058668436215352004,-0.12546574054862286,0.009900975261893269,-0.05091229360860921,-0.06125739207217167,-0.12750051121338904,-0.06599148371695336,-0.20603998485765143
2.555000000000049,0.9979666205438107,0.0,-0.08812572388681783,0.009621779416826745,-0.14656103270524798,-0.05864530033677236,-0.12541637992961446,0.009897081938145046,-0.05089226087033049,-0.061233239409974424,-0.12745034724879784,-0.06596547726129597,-0.20595878534474688
2.556000000000049,0.9979682196264448,0.0,-0.08809110058175523,0.00961797731358853,-0.1465034049638101,-0.05862218276714265,-0.1253670582353921,0.009893191682291235,-0.05087224393296183,-0.061209105856469166,-0.12740022284591926,-0.06593949136593219,-0.20587765002990524
2.557000000000049,0.9979698168201846,0.0,-0.08805650452971595,0.009614178228910806,-0.14644582263727712,-0.05859908348465617,-0.12531777541981057,0.009889304490698563,-0.0508522427777656,-0.06118499138890444,-0.12735013795784755,-0.06591352600640586,-0.20579657883675695
2.5580000000000487,0.997971412128009,0.0,-0.08802193569846654,0.009610382159182588,-0.14638828567184903,-0.0585760024675411,-0.1252685314367979,0.009885420359739472,-0.050832257386033926,-0.06116089598456503,-0.1273000925377512,-0.06588758115829968,-0.20571557168905372
2.5590000000000486,0.9979730055528916,0.0,-0.08798739405582448,0.00960658910079882,-0.1463307940138108,-0.05855293969406014,-0.12521932624035484,0.009881539285792175,-0.05081228773908847,-0.06113681962077181,-0.12725008653887285,-0.0658616567972352,-0.2056346285106686
2.5600000000000485,0.9979745970977992,0.0,-0.08795287956965796,0.009602799050160267,-0.1462733476095323,-0.0585298951425105,-0.12517015978455495,0.009877661265240735,-0.05079233381828034,-0.06111276227488152,-0.127200119914529,-0.06583575289887242,-0.20555374922559533
2.5610000000000483,0.9979761867656938,0.0,-0.08791839220788605,0.00959901200367325,-0.14621594640546856,-0.05850686879122422,-0.12512103202354477,0.009873786294474697,-0.050772395604990514,-0.0610887239242874,-0.12715019261811042,-0.06580986943891051,-0.20547293375794906
2.5620000000000482,0.9979777745595306,0.0,-0.0878839319384783,0.009595227957750054,-0.1461585903481589,-0.058483860618567515,-0.12507194291154297,0.009869914369889578,-0.05075247308062905,-0.061064704546418214,-0.12710030460308117,-0.06578400639308679,-0.20539218203196485
2.563000000000048,0.9979793604822598,0.0,-0.08784949872945491,0.009591446908808504,-0.14610127938422746,-0.05846087060294129,-0.12502289240284095,0.009866045487886206,-0.05073256622663579,-0.061040704118738916,-0.1270504558229794,-0.06575816373717754,-0.20531149397199858
2.564000000000048,0.9979809445368248,0.0,-0.08781509254888638,0.009587668853272353,-0.14604401346038237,-0.05843789872278048,-0.12497388045180204,0.009862179644871545,-0.05071267502447953,-0.061016722618749956,-0.12700064623141616,-0.06573234144699695,-0.20523086950252573
2.565000000000048,0.9979825267261644,0.0,-0.08778071336489354,0.009583893787570989,-0.14598679252341606,-0.05841494495655444,-0.12492490701286181,0.009858316837257965,-0.05069279945565856,-0.06099276002398768,-0.12695087578207606,-0.06570653949839798,-0.20515030854814184
