K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9
2.793000000000023,0.9948711701945029,-17.613575088590515,-15.719124666214121,-14.849710353087502,-13.864209179938962,-11.684245734105488,-10.47676107512019,-7.051580386731977,-6.241214511296911,-2.4497135495327744,2.3832107028884594e-15
2.7940000000000227,0.9948748624413317,-17.619943311206004,-15.724817774146837,-14.85506861025601,-13.86924573040847,-11.688489262923817,-10.480554423856965,-7.054145902911625,-6.243486160742886,-2.450600063572563,-2.433166338412478e-15
2.7950000000000226,0.9948785506944495,-17.62631151136781,-15.730510858798004,-14.86042685255896,-13.87428225422035,-11.69273276952878,-10.484347757035588,-7.05671140456181,-6.245757795334647,-2.451486573996233,1.4931653436300233e-15
2.7960000000000225,0.9948822349596249,-17.63267968910036,-15.736203920192592,-14.865785080012348,-13.879318751403945,-11.696976253944996,-10.488141074673253,-7.059276891697986,-6.248029415089952,-2.452373080807928,-4.676961617154123e-16
2.7970000000000224,0.994885915242618,-17.63904784442808,-15.741896958355554,-14.871143292632166,-13.884355221988484,-11.701219716197011,-10.491934376787098,-7.061842364335621,-6.250301020026546,-2.453259584011812,2.4097120436306052e-15
2.7980000000000222,0.9948895915491769,-17.64541597737533,-15.747589973311795,-14.876501490434372,-13.889391666003215,-11.705463156309369,-10.495727663394245,-7.0644078224901365,-6.2525726101621295,-2.4541460836120343,-4.217851293274709e-15
2.799000000000022,0.9948932638850402,-17.65178408796645,-15.753282965086198,-14.881859673434896,-13.89442808347732,-11.709706574306553,-10.499520934511807,-7.066973266176943,-6.254844185514395,-2.455032579612717,4.5050152790436135e-15
2.800000000000022,0.9948969322559357,-17.658152176225695,-15.758975933703603,-14.887217841649658,-13.899464474439933,-11.713949970213028,-10.50331419015685,-7.0695386954114285,-6.257115746100974,-2.4559190720180304,2.4365873922543275e-15
2.801000000000022,0.994900596667581,-17.664520242177364,-15.764668879188797,-14.89257599509454,-13.904500838920141,-11.718193344053226,-10.507107430346434,-7.072104110208954,-6.2593872919395075,-2.4568055608320574,1.5257632805876582e-15
2.802000000000022,0.9949042571256835,-17.670888285845695,-15.770361801566569,-14.897934133785432,-13.909537176947,-11.722436695851517,-10.510900655097577,-7.074669510584862,-6.261658823047594,-2.457692046058958,1.6811074457448297e-15
2.8030000000000217,0.99490791363594,-17.677256307254837,-15.776054700861645,-14.903292257738153,-13.914573488549525,-11.726680025632255,-10.514693864427265,-7.0772348965544785,-6.263930339442797,-2.458578527702816,-2.950665101268887e-15
2.8040000000000216,0.9949115662040376,-17.68362430642898,-15.781747577098722,-14.90865036696854,-13.919609773756678,-11.730923333419746,-10.518487058352488,-7.079800268133087,-6.266201841142644,-2.459465005767764,2.3300779233170786e-15
2.8050000000000215,0.9949152148356523,-17.689992283392215,-15.787440430302455,-14.914008461492386,-13.924646032597384,-11.735166619238269,-10.522280236890191,-7.082365625335997,-6.268473328164666,-2.4603514802578896,1.22164757574215e-15
2.8060000000000214,0.9949188595364504,-17.69636023816865,-15.79313326049748,-14.919366541325482,-13.929682265100517,-11.739409883112083,-10.526073400057296,-7.0849309681784405,-6.270744800526322,-2.461237951177292,2.2136593623692395e-15
2.8070000000000213,0.9949225003120882,-17.702728170782315,-15.798826067708388,-14.924724606483565,-13.93471847129493,-11.743653125065373,-10.5298665478707,-7.087496296675662,-6.273016258245083,-2.4621244185300615,3.664803830169027e-15
2.808000000000021,0.9949261371682114,-17.709096081257254,-15.80451885195974,-14.930082656982375,-13.939754651209412,-11.747896345122316,-10.533659680347288,-7.0900616108428745,-6.275287701338365,-2.463010882320285,2.073460885658256e-15
2.809000000000021,0.9949297701104552,-17.715463969617414,-15.810211613276053,-14.935440692837624,-13.944790804872726,-11.752139543307027,-10.537452797503885,-7.092626910695263,-6.277559129823568,-2.463897342552018,1.7666521121314006e-15
2.810000000000021,0.9949333991444458,-17.721831835886764,-15.815904351681818,-14.940798714064998,-13.949826932313572,-11.756382719643637,-10.541245899357342,-7.095192196248015,-6.279830543718069,-2.464783799229351,3.2871603072255485e-15
2.811000000000021,0.9949370242757981,-17.72819968008921,-15.821597067201484,-14.946156720680156,-13.954863033560631,-11.760625874156185,-10.54503898592444,-7.097757467516256,-6.2821019430391845,-2.4656702523563556,-5.627266044895142e-15
2.8120000000000207,0.9949406455101174,-17.734567502248602,-15.82728975985947,-14.951514712698744,-13.959899108642531,-11.764869006868704,-10.548832057221965,-7.1003227245151495,-6.284373327804244,-2.466556701937061,-2.161821580694419e-15
2.8130000000000206,0.9949442628529992,-17.740935302388834,-15.832982429680156,-14.956872690136374,-13.964935157587847,-11.769112117805182,-10.55262511326666,-7.102887967259769,-6.286644698030543,-2.46744314797555,-1.894633487413545e-15
2.8140000000000205,0.9949478763100281,-17.747303080533666,-15.838675076687904,-14.962230653008655,-13.969971180425135,-11.77335520698958,-10.556418154075251,-7.105453195765223,-6.28891605373532,-2.468329590475843,-4.331424532555588e-15
2.8150000000000204,0.9949514858867797,-17.753670836706892,-15.844367700907009,-14.967588601331155,-13.9750071771829,-11.77759827444581,-10.56021117966444,-7.108018410046555,-6.291187394935804,-2.4692160294419896,1.4048277632407015e-16
2.8160000000000203,0.994955091588819,-17.760038570932256,-15.85006030236177,-14.972946535119437,-13.980043147889596,-11.781841320197763,-10.564004190050898,-7.110583610118829,-6.293458721649205,-2.4701024648780203,-1.8536238745579425e-15
2.81700000000002,0.9949586934217006,-17.766406283233426,-15.85575288107642,-14.978304454389022,-13.985079092573658,-11.786084344269293,-10.567797185251294,-7.113148795997057,-6.295730033892697,-2.470988896787966,-4.631813249187795e-15
2.81800000000002,0.99496229139097,-17.77277397363413,-15.861445437075163,-14.98366235915541,-13.99011501126344,-11.790327346684194,-10.571590165282226,-7.115713967696252,-6.298001331683429,-2.471875325175824,-1.1254870298887225e-15
2.81900000000002,0.9949658855021625,-17.77914164215795,-15.867137970382188,-14.989020249434102,-13.995150903987298,-11.794570327466278,-10.575383130160327,-7.118279125231382,-6.300272615038505,-2.4727617500456436,3.447190983749065e-15
2.82000000000002,0.9949694757608031,-17.785509288828536,-15.872830481021639,-14.994378125240551,-14.000186770773524,-11.798813286639255,-10.579176079902146,-7.120844268617416,-6.302543883975032,-2.473648171401413,2.1628084435615583e-15
