K,r,converged,min_eigval,max_eigval,max_real,num_unstable,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
2.7850000000000237,0.9964011646980253,True,-18.832074468983297,-9.974455472587049e-16,-2.662226016687575,0,0.0,-0.1132137242547921,-0.021055682981424427,-0.181821968036072,-0.09624502710958713,-0.17994512705902568,-0.016782530791424836,-0.11719140221586616,-0.06533797817983485,-0.2864629738350383
2.7860000000000236,0.9964037670832815,True,-18.838905996751294,9.970340441364525e-16,-2.66319376656129,0,0.0,-0.11317288346973213,-0.02104809523488536,-0.1817563529056824,-0.09621028240737992,-0.1798801754949225,-0.01677656482306559,-0.11714919189810108,-0.0653146073136396,-0.2863591678345677
2.7870000000000235,0.9964063666395532,True,-18.845737499097446,-4.1020527409603963e-16,-2.664161511899739,0,0.0,-0.11313207221468212,-0.02104051296647769,-0.18169078524506732,-0.09617556285494733,-0.17981527093560568,-0.016770603072398412,-0.11710701203008292,-0.06529125312824494,-0.2862554374097316
2.7880000000000233,0.9964089633709506,True,-18.852568976049643,-2.104480744585656e-15,-2.6651292527081454,0,0.0,-0.11309129045754404,-0.02103293617025806,-0.18162526500259044,-0.09614086842491223,-0.1797504133299226,-0.01676464553497832,-0.11706486257881508,-0.06526791560583686,-0.2861517824776101
2.7890000000000232,0.9964115572815765,True,-18.859400427635695,-3.0111613843430236e-15,-2.666096988991698,0,0.0,-0.11305053816626655,-0.021025364840291785,-0.18155979212669052,-0.0961061990899374,-0.17968560262679495,-0.016758692206366683,-0.11702274351134893,-0.0652445947286268,-0.2860482029554055
2.790000000000023,0.9964141483755247,True,-18.86623185388339,-2.873476453120965e-15,-2.667064720755603,0,0.0,-0.1130098153088448,-0.02101779897065274,-0.18149436656588122,-0.09607155482272534,-0.17962083877521884,-0.016752743082131028,-0.11698065479478341,-0.0652212904788514,-0.2859446987604415
2.791000000000023,0.9964167366568832,True,-18.873063254820476,4.744850435851626e-15,-2.6680324480050417,0,0.0,-0.11296912185332043,-0.021010238555423444,-0.18142898826875112,-0.09603693559601832,-0.17955612172426452,-0.01674679815784503,-0.11693859639626504,-0.06519800283877251,-0.28584126981016356
2.792000000000023,0.9964193221297317,True,-18.87989463047468,-1.01364299603551e-15,-2.669000170745195,0,0.0,-0.11292845776778145,-0.02100268358869495,-0.18136365718396333,-0.09600234138259818,-0.17949145142307613,-0.016740857429088582,-0.11689656828298782,-0.06517473179067713,-0.2857379160221379
2.793000000000023,0.9964219047981426,True,-18.88672598087367,2.09470118889575e-15,-2.6699678889812297,0,0.0,-0.11288782302036214,-0.020995134064566916,-0.1812983732602556,-0.0959677721552864,-0.17942682782087185,-0.016734920891447787,-0.1168545704221933,-0.06515147731687752,-0.28563463731405236
2.7940000000000227,0.9964244846661807,True,-18.89355730604507,-7.375410267139813e-15,-2.670935602718314,0,0.0,-0.11284721757924297,-0.02098758997714744,-0.18123313644644,-0.0959332278869438,-0.17936225086694346,-0.016728988540514772,-0.11681260278117012,-0.06512823939971078,-0.285531433603715
2.7950000000000226,0.9964270617379042,True,-18.900388606016453,1.0713968598516143e-15,-2.671903311961597,0,0.0,-0.11280664141265052,-0.020980051320553156,-0.18116794669140282,-0.09589870855047063,-0.1792977205106563,-0.01672306037188782,-0.11677066532725418,-0.06510501802153912,-0.2854283048090545
2.7960000000000225,0.9964296360173626,True,-18.90721988081538,4.80701647134091e-15,-2.6728710167162304,0,0.0,-0.11276609448885754,-0.020972518088909365,-0.1811028039441047,-0.0958642141188067,-0.17923323670144942,-0.01671713638117158,-0.11672875802782887,-0.06508181316474997,-0.2853252508481204
2.7970000000000224,0.9964322075086,True,-18.91405113046939,-5.688973710292985e-16,-2.673838716987355,0,0.0,-0.11272557677618243,-0.02096499027634957,-0.18103770815357983,-0.09582974456493065,-0.17916879938883482,-0.016711216563976332,-0.116686880850324,-0.06505862481175517,-0.28522227163908126
2.7980000000000222,0.9964347762156508,True,-18.920882355005862,2.2565617470877466e-15,-2.6748064127800846,0,0.0,-0.11268508824298971,-0.020957467877015974,-0.1809726592689366,-0.09579529986186064,-0.17910440852239795,-0.016705300915918896,-0.1166450337622169,-0.06503545294499193,-0.2851193671002266
2.799000000000022,0.9964373421425441,True,-18.9277135544523,2.970801192673739e-15,-2.675774104099561,0,0.0,-0.1126446288576897,-0.020949950885059264,-0.18090765723935717,-0.09576087998265402,-0.17904006405179748,-0.016699389432622176,-0.11660321673103174,-0.06501229754692234,-0.2850165371499652
2.800000000000022,0.9964399052933006,True,-18.93454472883607,-3.0644140515216848e-15,-2.676741790950893,0,0.0,-0.1126041985887382,-0.02094243929463834,-0.18084270201409697,-0.09572648490040685,-0.17897576592676465,-0.01669348210971482,-0.11656142972433912,-0.0649891586000328,-0.2849137817068251
2.801000000000022,0.996442465671934,True,-18.94137587818451,-1.653797141345676e-15,-2.677709473339185,0,0.0,-0.11256379740463679,-0.020934933099920734,-0.1807777935424851,-0.09569211458825441,-0.17891151409710368,-0.01668757894283187,-0.11651967270975674,-0.06496603608683496,-0.2848111006894537
2.802000000000022,0.996445023282451,True,-18.948207002524935,-5.391623012564372e-16,-2.6786771512695355,0,0.0,-0.11252342527393257,-0.02092743229508233,-0.18071293177392395,-0.09565776901937084,-0.17884730851269148,-0.016681679927614244,-0.11647794565494873,-0.06494292998986491,-0.2847084940166173
2.8030000000000217,0.9964475781288507,True,-18.955038101884615,9.886157962253304e-16,-2.6796448247470392,0,0.0,-0.11248308216521799,-0.020919936874307314,-0.18064811665788894,-0.09562344816696901,-0.17878314912347737,-0.016675785059709056,-0.11643624852762584,-0.0649198402916836,-0.2846059616072013
2.8040000000000216,0.9964501302151245,True,-18.961869176290765,5.445219817257122e-16,-2.680612493776777,0,0.0,-0.11244276804713112,-0.020912446831788577,-0.18058334814392893,-0.09558915200430089,-0.1787190358794834,-0.016669894334769463,-0.11639458129554545,-0.06489676697487663,-0.28450350338020947
2.8050000000000215,0.996452679545258,True,-18.968700225770583,-4.663296958148822e-16,-2.6815801583638232,0,0.0,-0.11240248288835496,-0.020904962161726895,-0.1805186261816652,-0.09555488050465663,-0.17865496873080342,-0.01666400774845443,-0.1163529439265109,-0.06487371002205385,-0.2844011192547635
