K,r,eigval_no_gauge_0,eigval_no_gauge_1,eigval_no_gauge_2,eigval_no_gauge_3,eigval_no_gauge_4,eigval_no_gauge_5,eigval_no_gauge_6,eigval_no_gauge_7,eigval_no_gauge_8,eigval_no_gauge_9,eigval_no_gauge_10
1.0150000000002186,0.9787110032041009,-7.291929642215659,-6.532181197642262,-5.24281210220967,-4.604958383555706,-4.3274914240015425,-4.158294367439748,-3.2907718938618715,-3.0730701935992175,-2.1776356282627476,-1.7695621138708664,-0.8151187831557756
1.0160000000002185,0.9787548060746167,-7.2995102515528725,-6.539146005892045,-5.2482168423910815,-4.609754624568373,-4.331967445312535,-4.162639571771847,-3.2943228792222716,-3.0762887892963464,-2.1800335894949856,-1.7714131239204354,-0.8159889361091359
1.0170000000002184,0.9787984716234611,-7.307090457371526,-6.546110216759824,-5.253621332187795,-4.614550615113826,-4.336443235322464,-4.166984463998707,-3.297873472838114,-3.0795071588519893,-2.182431238695746,-1.7732639998115929,-0.8168590022439371
1.0180000000002183,0.9788420004342537,-7.314670260921517,-6.55307383225654,-5.259025572393572,-4.619346355896108,-4.340918794795379,-4.1713290452810945,-3.3014236761389224,-3.082725303081845,-2.184828577006976,-1.7751147420407483,-0.8177289818917456
1.0190000000002182,0.978885393087459,-7.322249663447467,-6.560036854383852,-5.2644295637987275,-4.624141847616773,-4.345394124491832,-4.175673316773818,-3.304973490547228,-3.0859432227974244,-2.1872256055648474,-1.7769653511017636,-0.8185988753823706
1.020000000000218,0.9789286501604069,-7.329828666188671,-6.566999285134246,-5.269833307190126,-4.628937090974881,-4.349869225168909,-4.1800172796257495,-3.3085229174786046,-3.089160918806094,-2.189622325499794,-1.7788158274859822,-0.8194686830438784
1.021000000000218,0.9789717722273132,-7.33740727037918,-6.57396112649107,-5.275236803351228,-4.633732086667027,-4.354344097580239,-4.184360934979895,-3.312071958341725,-3.092378391911093,-2.192018737936559,-1.7806661716822214,-0.8203384052026044
1.0220000000002178,0.9790147598593008,-7.344985477247795,-6.580922380428573,-5.28064005306209,-4.638526835387331,-4.358818742476025,-4.1887042839734026,-3.3156206145383895,-3.0955956429115714,-2.194414843994228,-1.7825163841768115,-0.8212080421831561
1.0230000000002177,0.9790576136244196,-7.3525632880181275,-6.587883048911975,-5.286043057099392,-4.643321337827455,-4.363293160603055,-4.193047327737611,-3.3191688874635674,-3.098812672602604,-2.196810644786256,-1.784366465453594,-0.8220775943084332
1.0240000000002176,0.9791003340876661,-7.360140703908602,-6.594843133897526,-5.291445816236454,-4.648115594676633,-4.367767352704736,-4.1973900673981,-3.3227167785054377,-3.102029481775239,-2.1992061414205057,-1.7862164159939569,-0.8229470618996378
1.0250000000002175,0.9791429218110047,-7.367717726132492,-6.601802637332531,-5.296848331243264,-4.6529096066216455,-4.372241319521099,-4.2017325040747036,-3.326264289045447,-3.1052460712165004,-2.2016013349993133,-1.7880662362768334,-0.8238164452762861
1.0260000000002174,0.9791853773533871,-7.375294355897962,-6.608761561155413,-5.302250602886462,-4.657703374346852,-4.376715061788821,-4.206074638881569,-3.3298114204583245,-3.1084624417094378,-2.203996226619471,-1.789915926778731,-0.8246857447562256
1.0270000000002173,0.9792277012707713,-7.382870594408079,-6.615719907295813,-5.307652631929424,-4.662496898534194,-4.3811885802412505,-4.210416472927191,-3.3333581741121434,-3.1116785940331346,-2.2063908173723115,-1.7917654879737412,-0.8255549606556282
