K,r,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
0.5460000000002199,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5470000000002199,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5480000000002199,0.8087428611842181,0.0,-0.5577802178319646,0.04014725834861245,-0.9679927604952401,-0.5969781538241646,-0.9693599118132997,-0.2809366117025445,-1.0664694860817487,-0.7266299929936306,-2.4473578272614898
0.5490000000002199,0.814173185111414,0.0,-0.5565223461522758,0.04014606368652295,-0.9658129428496535,-0.5950958113299661,-0.9678168043914402,-0.2805935884494893,-1.061654333501506,-0.7274409297727428,-2.3946414593003587
0.5500000000002199,0.8170287424128037,0.0,-0.5553043107276625,0.04006120152473383,-0.9636637874252525,-0.59350670910307,-0.9660076620228626,-0.280134534000776,-1.0581839313104415,-0.7270141962672526,-2.367793328120105
0.5510000000002199,0.8193072964271607,0.0,-0.5540996057568509,0.03995855587148594,-0.9615298008582731,-0.5919888711147971,-0.9641464130960263,-0.2796513248790952,-1.0550242881178005,-0.726315521783269,-2.346716580735116
0.5520000000002199,0.8212814282095692,0.0,-0.5529045610048653,0.039847136960908275,-0.9594087790348814,-0.5905118375143041,-0.9622622510269366,-0.27915652909886546,-1.0520337324072178,-0.7254769523861554,-2.32867177815239
0.5530000000002199,0.8230584304003394,0.0,-0.5517177004137742,0.0397304918579199,-0.957299796463836,-0.5890635470348249,-0.9603666404273665,-0.2786550965178068,-1.04915629581425,-0.7245505228429046,-2.31258149339665
0.5540000000002199,0.824693792333798,0.0,-0.5505382372963729,0.03961045234347016,-0.9552023301748138,-0.5876377163357642,-0.9584654833598145,-0.27814958504025344,-1.0463629183985235,-0.7235631611655492,-2.2978889700560448
0.5550000000002199,0.8262206676068478,0.0,-0.5493656830429552,0.03948810944361022,-0.9531160318080322,-0.5862305583070236,-0.9565622812768488,-0.2776415195254126,-1.0436361622217445,-0.7225309580626497,-2.2842618540407162
0.5560000000002199,0.827660756004286,0.0,-0.5481997024269603,0.0393641737748559,-0.9510406432962185,-0.584839568584083,-0.9546593036533136,-0.27713189425850454,-1.040964559451266,-0.721464440887504,-2.271482818237954
0.5570000000002199,0.829029189146829,0.0,-0.5470400485534216,0.03923913753137915,-0.9489759589352172,-0.5834629800226581,-0.9527581130881589,-0.27662139882762465,-1.0383400718235754,-0.7203709434223268,-2.25940047036723
0.5580000000002199,0.8303370233050038,0.0,-0.5458865296211752,0.03911335723778716,-0.9469218059901048,-0.5820994839931098,-0.9508598334375347,-0.27611053351563575,-1.035756792856535,-0.7192558159950472,-2.247904311662052
0.5590000000002199,0.8315926328908698,0.0,-0.5447389903155934,0.038987100064117375,-0.9448780338279419,-0.5807480743794328,-0.9489652998159146,-0.27559967388341255,-1.0332102215289942,-0.7181231024796921,-2.2369107426175696
0.5600000000002199,0.8328025449201987,0.0,-0.5435973006486406,0.03886057159343538,-0.9428445073921518,-0.579407954037662,-0.9470751484869531,-0.2750891094908558,-1.03069682682689,-0.7169759460246765,-2.2263546851916307
0.5610000000002199,0.8339719663893808,0.0,-0.542461348893975,0.03873393339115583,-0.940821103065025,-0.5780784755981357,-0.9451898737142276,-0.27457906839768903,-1.0282137722116371,-0.7158168456731459,-2.2161842895596493
0.5620000000002199,0.835105132378663,0.0,-0.541331036915096,0.03860731461498659,-0.9388077059262977,-0.576759102337117,-0.9433098653115902,-0.2740697333546628,-1.0257587335337448,-0.7146478258812019,-2.206357441215789
0.5630000000002199,0.8362055442031032,0.0,-0.5402062769627164,0.03848081996636343,-0.9368042078692401,-0.5754493813695741,-0.941435434348992,-0.2735612528934512,-1.0233297743100505,-0.7134705525814063,-2.196839372025886
0.5640000000002199,0.8372761373100917,0.0,-0.5390869894117937,0.038354535302023825,-0.9348105062652863,-0.5741489247221163,-0.9395668312856396,-0.27305374915397135,-1.0209252576857766,-0.7122864150705945,-2.1876009764919973
0.5650000000002199,0.8383194027242289,0.0,-0.5379731011207047,0.03822853169707253,-0.9328265029923952,-0.5728573956221094,-0.9377042590932005,-0.27254732355240224,-1.0185437826761945,-0.7110965852860021,-2.17861759421338
0.5660000000002199,0.8393374768442522,0.0,-0.5368645442145411,0.03810286845191434,-0.9308521037110834,-0.5715744983435057,-0.9358478829634641,-0.2720420609766543,-1.0161841369635058,-0.7099020616669505,-2.1698681098952424
0.5670000000002199,0.8403322091352394,0.0,-0.5357612551651202,0.03797759536093733,-0.9288872173141778,-0.5702999705398781,-0.9339978376291874,-0.2715380329523664,-1.0138452612684157,-0.7087037022433454,-2.161334275103156
0.5680000000002199,0.8413052140259856,0.0,-0.5346631740832085,0.037852754453150624,-0.9269317555007992,-0.5690335773563301,-0.9321542329784034,-0.2710353000725956,-1.0115262219995442,-0.7075022500216049,-2.15300018843008
0.5690000000002199,0.8422579112987604,0.0,-0.5335702441655537,0.0377283813477605,-0.9249856324410827,-0.5677751068388218,-0.9303171584247055,-0.2705339138905461,-1.0092261899394472,-0.7062983527552695,-2.1448518910526633
0.5700000000002199,0.8431915579469361,0.0,-0.5324824112568484,0.037604506323987694,-0.923048764508344,-0.5665243663064681,-0.9284866863546678,-0.27003391841380764,-1.0069444234105436,-0.7050925785496884,-2.1368770478221477
0.5710000000002199,0.8441072736070064,0.0,-0.5313996234983668,0.037481155175487425,-0.9211210700621808,-0.5652811794498379,-0.9266628748798749,-0.2695353512982041,-1.0046802548180493,-0.7038854283273979,-2.129064692757835
0.5720000000002199,0.8450060610828847,0.0,-0.5303218310428965,0.037358349900110506,-0.9192024692705928,-0.5640453839843639,-0.924845770057554,-0.26903824481199745,-1.0024330797746221,-0.7026773458943223,-2.1214050237186703
0.5730000000002199,0.8458888230738056,0.0,-0.5292489858210333,0.03723610926218306,-0.9172928839623948,-0.5628168297336453,-0.9230354076999397,-0.2685426266222871,-1.000202348223999,-0.7014687261489535,-2.113889235108405
0.5740000000002199,0.8467563759313037,0.0,-0.5281810413477369,0.03711444925493809,-0.915392237503425,-0.5615953770495536,-0.9212318148616429,-0.26804852044214095,-0.9979875571304773,-0.7002599218374244,-2.1065093803377577
0.5750000000002199,0.8476094610665533,0.0,-0.5271179525607824,0.03699338348392418,-0.9135004546916478,-0.5603808954990159,-0.9194350110722406,-0.26755594656747705,-0.9957882444079819,-0.6990512491578664,-2.099258257815444
0.5760000000002199,0.8484487544813207,0.0,-0.526059675684734,0.03687292348724892,-0.9116174616674249,-0.5591732627640248,-0.9176450093653247,-0.267064922325828,-0.9936039838400166,-0.6978429924452877,-2.0921293157247494
0.5770000000002199,0.8492748747870296,0.0,-0.525006168115525,0.03675307900489694,-0.9097431858360696,-0.5579723637136619,-0.9158618171434816,-0.2665754624540445,-0.9914343807988029,-0.6966354081151476,-2.085116571932961
0.5780000000002199,0.8500883899955527,0.0,-0.523957388321811,0.03663385820664544,-0.9078775558004362,-0.5567780896160427,-0.9140854369099329,-0.26608757941821476,-0.9892790686143305,-0.6954287280043387,-2.078214546192064
0.5790000000002199,0.8508898233044936,0.0,-0.5229132957600947,0.036515267886060056,-0.9060205013017834,-0.5555903374649593,-0.9123158668909886,-0.2656012836862443,-0.9871377054759908,-0.6942231622185846,-2.071418202399189
0.5800000000002199,0.8516796580534568,0.0,-0.5218738508012228,0.03639731362651554,-0.9041719531675022,-0.5544090094012076,-0.9105531015684503,-0.2651165839613703,-0.9850099717737484,-0.6930189015726588,-2.0647228991490425
0.5810000000002199,0.8524583419923017,0.0,-0.5208390146663591,0.03627999994397716,-0.9023318432645925,-0.5532340122126118,-0.908797132137268,-0.2646334873832326,-0.9828955678044803,-0.6918161196924919,-2.0581243471664665
0.5820000000002199,0.8532262909748487,0.0,-0.5198087493708845,0.03616333041037259,-0.9005001044579766,-0.5520652568998554,-0.9070479469007653,-0.26415199970182995,-0.9807942117835713,-0.6906149748347741,-2.0516185724830183
0.5830000000002199,0.8539838921700287,0.0,-0.5187830176749795,0.03604730776065466,-0.8986766705729134,-0.5509026582976625,-0.9053055316134169,-0.26367212542868185,-0.9787056381131594,-0.6894156114691493,-2.0452018844367816
0.5840000000002199,0.8547315068655215,0.0,-0.5177617830398727,0.03593193398607798,-0.8968614763609207,-0.5497461347428013,-0.9035698697793471,-0.26319386796873795,-0.9766295958673625,-0.688218161659835,-2.0388708477442945
0.5850000000002199,0.8554694729255159,0.0,-0.5167450095889091,0.03581721041578409,-0.8950544574686914,-0.5485956077818773,-0.9018409429132266,-0.26271722973592126,-0.9745658474618498,-0.6870227462768892,-2.032622258027883
0.5860000000002199,0.8561981069534794,0.0,-0.5157326620727515,0.03570313778839992,-0.8932555504096135,-0.5474510019131322,-0.9001187307691219,-0.26224221225471833,-0.9725141674808292,-0.6858294760621413,-2.0264531202892773
0.5870000000002199,0.8569177062022072,0.0,-0.5147247058381353,0.035589716315088324,-0.8914646925375355,-0.5463122443574121,-0.8984032115418787,-0.26176881624979953,-0.9704743416390305,-0.684638452570534,-2.020360629906704
0.5880000000002199,0.8576285502664301,0.0,-0.5137211067996943,0.035476945735239435,-0.889681822022498,-0.5451792648542858,-0.896694362044887,-0.26129704172533774,-0.9684461658599773,-0.6834497690042248,-2.0143421558026207
0.5890000000002199,0.8583309025875823,0.0,-0.5127218314144539,0.03536482536580408,-0.887906877828189,-0.5440519954799249,-0.8949921578674467,-0.2608268880354234,-0.9664294454548302,-0.682263510954004,-2.0083952254861193
0.5900000000002199,0.8590250117956736,0.0,-0.5117268466586476,0.03525335414511856,-0.8861397996909153,-0.5429303704838908,-0.8932965735144499,-0.2603583539467543,-0.9644239943885483,-0.6810797570602982,-2.0025175117206317
0.5910000000002199,0.8597111129093823,0.0,-0.5107361200065693,0.03514253067193068,-0.8843805280999197,-0.5418143261424129,-0.8916075825306803,-0.259891437694599,-0.9624296346221396,-0.6798985796041608,-1.9967068206058354
0.5920000000002199,0.8603894284123282,0.0,-0.5097496194112117,0.035032353240239816,-0.8826290042788941,-0.5407038006260957,-0.8899251576116854,-0.25942613703288375,-0.9604461955214431,-0.6787200450370844,-1.9909610808943636
0.5930000000002199,0.8610601692208402,0.0,-0.5087673132864826,0.03492281987046716,-0.8808851701685598,-0.5395987338802992,-0.8882492707028936,-0.25896244927912954,-0.9584735133242844,-0.6775442144571912,-1.9852783343902205
0.5940000000002199,0.861723535556353,0.0,-0.5077891704908136,0.034813928337408075,-0.8791489684102038,-0.5384990675166771,-0.886579893088398,-0.25850037135485493,-0.9565114306589994,-0.6763711440382637,-1.9796567272977519
0.5950000000002199,0.8623797177337182,0.0,-0.5068151603120101,0.03470567619534029,-0.8774203423300837,-0.5374047447145857,-0.8849169954706547,-0.2580398998219954,-0.9545597961083149,-0.6752008854171982,-1.9740945024084426
0.5960000000002199,0.8630288968751739,0.0,-0.5058452524532013,0.03459806080062893,-0.875699235924605,-0.5363157101312261,-0.8832605480421358,-0.25758103091577883,-0.9526184638133669,-0.6740334860446654,-1.9685899920282521
0.5970000000002199,0.8636712455583975,0.0,-0.5048794170197791,0.03449107933210684,-0.8739855938462129,-0.5352319098195634,-0.8816105205498774,-0.25712376057448066,-0.9506872931133687,-0.6728689895031617,-1.9631416115613398
0.5980000000002199,0.8643069284059741,0.0,-0.5039176245072204,0.03438472880948219,-0.8722793613899279,-0.5341532911531651,-0.8799668823537083,-0.25666808446639156,-0.9487661482169999,-0.671707435796056,-1.957747853677062
0.5990000000002199,0.8649361026226507,0.0,-0.5029598457897013,0.03427900610999408,-0.8705804844804653,-0.5330798027572236,-0.8783296024788546,-0.25621399801430295,-0.9468548979020983,-0.6705488616107793,-1.952407282996587
0.6000000000002199,0.8655589184859552,0.0,-0.5020060521094314,0.03417390798349694,-0.8688889096599041,-0.5320113944451247,-0.876698649663539,-0.2557614964177825,-0.9449534152406807,-0.669393300558925,-1.9471185312435428
0.6010000000002199,0.8661755197950564,0.0,-0.5010562150666329,0.03406943106614965,-0.8672045840758454,-0.5309480171599862,-0.8750739924020955,-0.25531057467346413,-0.9430615773466625,-0.6682407833956622,-1.9418802928099883
0.6020000000002199,0.8667860442821569,0.0,-0.5001103066101094,0.0339655718928454,-0.8655274554700357,-0.5298896229206767,-0.8734555989840717,-0.2548612275935603,-0.9411792651439792,-0.6670913382205854,-1.9366913206949476
