K,r,eigval_no_gauge_0,eigval_no_gauge_1,eigval_no_gauge_2,eigval_no_gauge_3,eigval_no_gauge_4,eigval_no_gauge_5,eigval_no_gauge_6,eigval_no_gauge_7,eigval_no_gauge_8,eigval_no_gauge_9,eigval_no_gauge_10
0.39400000000021973,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39500000000021973,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39600000000021973,0.7463733504013714,-2.2462694193867305,-1.7288147815262227,-1.4991884252253336,-1.3888833879186309,-1.109464411395773,-0.9249746973490958,-0.8326281766020263,-0.5754307991069212,-0.4033861764223873,-0.28992526862725926,-0.054170349130138525
0.39700000000021973,0.7529553603838071,-2.265394617218293,-1.7398020707036974,-1.5078211290752515,-1.3982472483728847,-1.123774448139268,-0.9399090026090744,-0.8443885329567808,-0.5880787219655866,-0.4121879375714503,-0.30343250206097294,-0.0773089411211765
0.39800000000021973,0.7580309357610944,-2.2816254462714474,-1.7497796754816748,-1.5156433904774387,-1.4066764987831302,-1.1359666311463583,-0.9525951608276289,-0.8540277304807986,-0.5988946102167904,-0.4196810134840129,-0.31499855077614564,-0.09312181668223175
0.39900000000021973,0.762358077351549,-2.296433399159954,-1.7592500723098539,-1.5230658953234566,-1.4146321474980548,-1.147098555800435,-0.9641695337046866,-0.8626261607861062,-0.608813970134866,-0.42650051904576447,-0.3255700086218222,-0.10538112482146964
0.40000000000021974,0.7662096919783093,-2.310346627122312,-1.7683950689538803,-1.5302358988669924,-1.4222810314643193,-1.1575529494607977,-0.9750388707091545,-0.8705711256372638,-0.6181692334494147,-0.43287790569001716,-0.33547192287577515,-0.11545449228425016
0.40100000000021974,0.7697218197077523,-2.3236275598303653,-1.7773057530858591,-1.537226556670659,-1.4297068216530655,-1.1675214737167077,-0.9854048220631783,-0.878054883229717,-0.6271239731876888,-0.43893032605037674,-0.34486090763434973,-0.12402599114071727
0.40200000000021974,0.7729742013982609,-2.336429498945217,-1.786035792917938,-1.5440806237499949,-1.4369589021529867,-1.1771169450608099,-0.9953849577204277,-0.8851896692629561,-0.6357728090298437,-0.44472770419107915,-0.353827305235539,-0.1314962056159931
0.40300000000021974,0.776018480499658,-2.348851372175559,-1.794620128085315,-1.5508257184806453,-1.4440695013061242,-1.1864127087532128,-1.0050550258951563,-0.8920478856131829,-0.644176201009834,-0.45031626259225854,-0.3624298479938876,-0.1381231150917833
0.40400000000021974,0.7788904654184325,-2.3609615151558403,-1.803083111525406,-1.5574809464075896,-1.4510611506117916,-1.1954597978143562,-1.0144672852868655,-0.8986795421092629,-0.6523755041103728,-0.4557287776661397,-0.3707101771992109,-0.1440837942126607
0.40500000000021974,0.7816162534817572,-2.3728095355184524,-1.8114425833686503,-1.5640602021648795,-1.4579504153644174,-1.204295521577799,-1.0236596399009779,-0.9051209506061351,-0.660400450410542,-0.46098971663742205,-0.37869979409412524,-0.14950547230067054
0.40600000000021974,0.7842156024752835,-2.3844328374397232,-1.819712118257562,-1.5705739842169282,-1.464749951935303,-1.2129482045600286,-1.0326606569442833,-0.9113995023357334,-0.668273248467098,-0.46611807524959886,-0.3864237189524134,-0.1544827711133395
0.40700000000021974,0.7867039270388108,-2.3958604806747066,-1.8279023588028616,-1.577030467706199,-1.4714697281613718,-1.2214399986475508,-1.041492531308321,-0.9175364913451212,-0.6760109987943416,-0.4711290644325469,-0.39390256359511844,-0.15908798869243285
0.40800000000021974,0.78909354972601,-2.407115596054257,-1.836021852998954,-1.5834361757690418,-1.4781177896271502,-1.2297886492102463,-1.0501729389249812,-0.9235488805148864,-0.6836271999295596,-0.47603517159834535,-0.4011537782445328,-0.16337758523819595
0.40900000000021974,0.7913945214623482,-2.418216967702736,-1.8440776046316065,-1.5897964191947127,-1.484700763281699,-1.238008655832332,-1.0587162492478008,-0.9294504576157318,-0.6911327309605777,-0.4808468596127545,-0.40819244184904,-0.16739645749752988
0.41000000000021974,0.7936151800843895,-2.42918010883201,-1.8520754488383666,-1.5961155953613333,-1.491224201080151,-1.2461120641839079,-1.0671343485615985,-0.9352526209192228,-0.6985365167207694,-0.4855730446331551,-0.4150317870084036,-0.17118085771555877
0.41100000000021975,0.7957625426458548,-2.4400180163976066,-1.8600203165195586,-1.6023973979697055,-1.4976928219519636,-1.2541090233888132,-1.0754372167135782,-0.9409649300540994,-0.705845992285268,-0.4902214330349257,-0.42168356380989086,-0.17476044630716756
