edge,baseline_Kc,new_Kc,delta,is_braess
"(8, 9)",0.6900000000001694,0.7000000000001694,0.010000000000000009,False
"(3, 5)",0.6900000000001694,1.35000000000017,0.6600000000000006,False
"(3, 9)",0.6900000000001694,0.6800000000001694,-0.010000000000000009,True
"(0, 9)",0.6900000000001694,0.6900000000001694,0.0,False
"(0, 11)",0.6900000000001694,0.6900000000001694,0.0,False
"(0, 4)",0.6900000000001694,0.6900000000001694,0.0,False
"(1, 7)",0.6900000000001694,0.6900000000001694,0.0,False
"(7, 9)",0.6900000000001694,0.6900000000001694,0.0,False
"(6, 9)",0.6900000000001694,0.6900000000001694,0.0,False
"(3, 8)",0.6900000000001694,0.7100000000001694,0.020000000000000018,False
"(8, 11)",0.6900000000001694,0.6900000000001694,0.0,False
"(1, 6)",0.6900000000001694,0.6900000000001694,0.0,False
"(4, 6)",0.6900000000001694,0.6900000000001694,0.0,False
"(5, 8)",0.6900000000001694,1.35000000000017,0.6600000000000006,False
"(1, 9)",0.6900000000001694,0.6900000000001694,0.0,False
"(1, 10)",0.6900000000001694,0.6900000000001694,0.0,False
"(2, 8)",0.6900000000001694,0.6900000000001694,0.0,False
"(10, 11)",0.6900000000001694,0.6900000000001694,0.0,False
"(1, 11)",0.6900000000001694,0.6900000000001694,0.0,False
"(2, 6)",0.6900000000001694,0.6900000000001694,0.0,False
"(3, 6)",0.6900000000001694,0.6800000000001694,-0.010000000000000009,True
"(2, 10)",0.6900000000001694,0.6900000000001694,0.0,False
"(2, 7)",0.6900000000001694,0.6900000000001694,0.0,False
"(1, 8)",0.6900000000001694,0.6900000000001694,0.0,False
