edge,baseline_Kc,new_Kc,delta,is_braess
"(1, 3)",0.9100000000001696,1.1100000000001697,0.20000000000000018,False
"(1, 7)",0.9100000000001696,1.1300000000001698,0.2200000000000002,False
"(0, 4)",0.9100000000001696,0.9400000000001696,0.030000000000000027,False
"(4, 7)",0.9100000000001696,1.50000000000017,0.5900000000000005,False
"(0, 3)",0.9100000000001696,1.2200000000001698,0.3100000000000003,False
"(5, 10)",0.9100000000001696,0.9100000000001696,0.0,False
"(5, 6)",0.9100000000001696,0.8900000000001695,-0.020000000000000018,True
"(6, 8)",0.9100000000001696,0.9000000000001696,-0.010000000000000009,True
"(4, 10)",0.9100000000001696,0.9800000000001696,0.07000000000000006,False
"(3, 11)",0.9100000000001696,1.0000000000001696,0.09000000000000008,False
"(2, 7)",0.9100000000001696,0.9600000000001696,0.050000000000000044,False
"(6, 10)",0.9100000000001696,0.9300000000001696,0.020000000000000018,False
"(8, 10)",0.9100000000001696,0.9300000000001696,0.020000000000000018,False
"(6, 11)",0.9100000000001696,1.30000000000017,0.39000000000000035,False
"(2, 11)",0.9100000000001696,1.38000000000017,0.4700000000000004,False
"(4, 9)",0.9100000000001696,0.9200000000001696,0.010000000000000009,False
"(5, 9)",0.9100000000001696,0.9000000000001696,-0.010000000000000009,True
