u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,4,2.840000000000046,3.040000000000042,0.19999999999999574,True,0.006308626788612173,True,True
0,8,2.840000000000046,3.0900000000000407,0.24999999999999467,False,-0.023276948139731773,True,False
1,3,2.840000000000046,2.850000000000046,0.009999999999999787,True,0.05555728733121599,True,True
1,8,2.840000000000046,2.850000000000046,0.009999999999999787,True,0.054581968410026695,True,True
2,4,2.840000000000046,2.850000000000046,0.009999999999999787,True,0.05179516785631681,True,True
2,16,2.840000000000046,2.850000000000046,0.009999999999999787,False,-0.0020365088292525896,True,False
4,5,2.840000000000046,2.890000000000045,0.049999999999998934,True,0.04686965009680004,True,True
4,9,2.840000000000046,2.890000000000045,0.049999999999998934,True,0.042186161092900964,True,True
4,10,2.840000000000046,2.880000000000045,0.03999999999999915,True,0.052953807857817795,True,True
4,11,2.840000000000046,2.880000000000045,0.03999999999999915,True,0.008948830023023324,True,True
4,18,2.840000000000046,2.8700000000000454,0.02999999999999936,True,0.0029746259040784734,True,True
10,16,2.840000000000046,2.8600000000000456,0.019999999999999574,True,0.04357701113890523,True,True
16,18,2.840000000000046,2.8600000000000456,0.019999999999999574,True,0.045687925880534,True,True
