u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
2,13,1.1100000000000632,1.1200000000000632,0.010000000000000009,False,-0.011674142112930053,True,False
3,13,1.1100000000000632,1.1200000000000632,0.010000000000000009,False,-0.010241152232624229,True,False
6,13,1.1100000000000632,1.1500000000000632,0.040000000000000036,False,-0.02131366802957313,True,False
8,13,1.1100000000000632,1.1400000000000632,0.030000000000000027,False,-0.01508143396919226,True,False
9,13,1.1100000000000632,1.1200000000000632,0.010000000000000009,False,-0.007959986350694281,True,False
10,13,1.1100000000000632,1.1300000000000632,0.020000000000000018,False,-0.013857396300695601,True,False
11,13,1.1100000000000632,1.1400000000000632,0.030000000000000027,False,-0.008690164187384664,True,False
13,14,1.1100000000000632,1.1400000000000632,0.030000000000000027,False,-0.016543945928252146,True,False
13,16,1.1100000000000632,1.1400000000000632,0.030000000000000027,True,0.04819430297064686,True,True
