u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,2,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.06121598478962609,True,True
0,3,0.880000000000063,0.900000000000063,0.020000000000000018,True,0.09501974992344486,True,True
2,4,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.10398665930372686,True,True
2,10,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.07625066729265906,True,True
3,4,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.13648199169330932,True,True
3,10,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.11143820908748903,True,True
4,7,0.880000000000063,0.890000000000063,0.010000000000000009,True,0.05551486093861646,True,True
