u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,6,1.3500000000000634,1.3900000000000634,0.040000000000000036,True,0.04913798435333916,True,True
0,11,1.3500000000000634,1.4200000000000634,0.07000000000000006,True,0.0782346856795838,True,True
0,15,1.3500000000000634,1.4100000000000634,0.06000000000000005,True,0.07581032001993127,True,True
2,6,1.3500000000000634,1.3700000000000634,0.020000000000000018,True,0.03433815713464572,True,True
2,8,1.3500000000000634,1.3800000000000634,0.030000000000000027,True,0.021634182149059322,True,True
2,11,1.3500000000000634,1.4300000000000634,0.08000000000000007,True,0.09433243182297113,True,True
2,15,1.3500000000000634,1.4200000000000634,0.07000000000000006,True,0.09139156332658993,True,True
3,6,1.3500000000000634,1.3800000000000634,0.030000000000000027,True,0.04747816255244608,True,True
3,8,1.3500000000000634,1.3700000000000634,0.020000000000000018,True,0.012703381116249579,True,True
3,11,1.3500000000000634,1.4100000000000634,0.06000000000000005,True,0.0763035547971237,True,True
3,15,1.3500000000000634,1.4100000000000634,0.06000000000000005,True,0.07362757388375729,True,True
6,8,1.3500000000000634,1.4500000000000635,0.10000000000000009,True,0.09933596764644403,True,True
6,9,1.3500000000000634,1.3800000000000634,0.030000000000000027,True,0.051469525090436674,True,True
6,11,1.3500000000000634,1.4800000000000635,0.13000000000000012,True,0.1746477471701886,True,True
6,14,1.3500000000000634,1.3900000000000634,0.040000000000000036,True,0.010917378325557059,True,True
6,15,1.3500000000000634,1.4800000000000635,0.13000000000000012,True,0.1729488565572419,True,True
8,9,1.3500000000000634,1.3700000000000634,0.020000000000000018,True,0.009854305711148204,True,True
8,12,1.3500000000000634,1.3700000000000634,0.020000000000000018,True,0.022327167964405814,True,True
8,13,1.3500000000000634,1.3900000000000634,0.040000000000000036,True,0.037932239514358757,True,True
9,11,1.3500000000000634,1.4100000000000634,0.06000000000000005,True,0.0690645693240497,True,True
9,15,1.3500000000000634,1.4100000000000634,0.06000000000000005,True,0.06652524644544078,True,True
11,12,1.3500000000000634,1.4200000000000634,0.07000000000000006,True,0.10052458135628572,True,True
11,13,1.3500000000000634,1.4400000000000635,0.09000000000000008,True,0.11854179796760289,True,True
12,15,1.3500000000000634,1.4200000000000634,0.07000000000000006,True,0.09719914028152299,True,True
13,15,1.3500000000000634,1.4300000000000634,0.08000000000000007,True,0.11544358450863113,True,True
