edge,baseline_Kc,new_Kc,delta,is_braess
"(0, 7)",1.0000000000000364,1.0000000000000364,0.0,False
"(1, 4)",1.0000000000000364,1.0000000000000364,0.0,False
"(1, 6)",1.0000000000000364,1.0000000000000364,0.0,False
"(6, 9)",1.0000000000000364,1.0000000000000364,0.0,False
"(0, 6)",1.0000000000000364,1.0000000000000364,0.0,False
"(2, 9)",1.0000000000000364,1.0000000000000364,0.0,False
"(0, 10)",1.0000000000000364,1.0000000000000364,0.0,False
"(3, 10)",1.0000000000000364,1.0000000000000364,0.0,False
"(3, 4)",1.0000000000000364,1.0000000000000364,0.0,False
"(0, 4)",1.0000000000000364,1.0000000000000364,0.0,False
"(1, 8)",1.0000000000000364,1.0000000000000364,0.0,False
"(0, 3)",1.0000000000000364,1.0000000000000364,0.0,False
"(4, 8)",1.0000000000000364,1.0000000000000364,0.0,False
"(3, 6)",1.0000000000000364,1.0000000000000364,0.0,False
"(3, 7)",1.0000000000000364,1.0000000000000364,0.0,False
"(2, 8)",1.0000000000000364,1.0000000000000364,0.0,False
"(9, 10)",1.0000000000000364,1.0000000000000364,0.0,False
"(7, 8)",1.0000000000000364,1.0000000000000364,0.0,False
"(2, 6)",1.0000000000000364,1.0000000000000364,0.0,False
