u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,2,3.160000000000039,3.160000000000039,0.0,False,-2.220714143933434,False,True
0,6,3.160000000000039,3.210000000000038,0.049999999999998934,True,0.41650812780594204,True,True
0,9,3.160000000000039,3.690000000000028,0.5299999999999887,True,0.08483477551063912,True,True
1,2,3.160000000000039,3.690000000000028,0.5299999999999887,True,0.4988694365153744,True,True
1,13,3.160000000000039,3.680000000000028,0.5199999999999889,False,-2.706056440213235,True,False
2,3,3.160000000000039,3.690000000000028,0.5299999999999887,False,-0.9538865868384905,True,False
2,11,3.160000000000039,3.7000000000000277,0.5399999999999885,True,0.27319146449987153,True,True
2,12,3.160000000000039,3.500000000000032,0.33999999999999275,False,-2.305920290191015,True,False
2,13,3.160000000000039,3.160000000000039,0.0,False,-1.648627095895101,False,True
3,5,3.160000000000039,3.160000000000039,0.0,True,0.0095547438288901,False,False
3,10,3.160000000000039,4.140000000000018,0.9799999999999791,False,-2.257017977121263,True,False
4,5,3.160000000000039,3.690000000000028,0.5299999999999887,True,0.6022219936205365,True,True
4,8,3.160000000000039,3.160000000000039,0.0,False,-0.8156456392971713,False,True
4,13,3.160000000000039,4.360000000000014,1.1999999999999744,False,-0.7315271056141149,True,False
5,8,3.160000000000039,3.160000000000039,0.0,False,-1.5360969053367926,False,True
5,10,3.160000000000039,3.160000000000039,0.0,False,-1.001033239264928,False,True
5,11,3.160000000000039,3.7000000000000277,0.5399999999999885,False,-0.9732404869746866,True,False
5,12,3.160000000000039,3.680000000000028,0.5199999999999889,False,-1.59655660225302,True,False
6,8,3.160000000000039,3.8400000000000247,0.6799999999999855,False,-3.039374556383651,True,False
6,11,3.160000000000039,3.160000000000039,0.0,False,-2.6204742078205534,False,True
7,8,3.160000000000039,3.160000000000039,0.0,False,-0.13438885950934298,False,True
7,9,3.160000000000039,2.4400000000000546,-0.7199999999999847,False,-1.9375353689478605,False,True
7,10,3.160000000000039,3.160000000000039,0.0,False,-0.9659953221017041,False,True
7,14,3.160000000000039,2.9700000000000433,-0.18999999999999595,False,-1.098951975765107,False,True
9,12,3.160000000000039,3.160000000000039,0.0,True,0.4773971100745003,False,False
