u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,3,1.5600000000000636,1.7000000000000637,0.14000000000000012,False,-0.026049991373550796,True,False
0,5,1.5600000000000636,1.6700000000000637,0.1100000000000001,False,-1.0802676288959385,True,False
0,6,1.5600000000000636,2.3400000000000567,0.7799999999999931,False,-0.8381916321188936,True,False
0,8,1.5600000000000636,1.8700000000000638,0.3100000000000003,True,0.14602193038911693,True,True
0,11,1.5600000000000636,3.780000000000026,2.2199999999999624,False,-0.9129048227152567,True,False
0,13,1.5600000000000636,1.7600000000000637,0.20000000000000018,False,-0.30348596175901954,True,False
0,14,1.5600000000000636,1.7700000000000637,0.2100000000000002,False,-0.2838010446355259,True,False
2,3,1.5600000000000636,1.5000000000000635,-0.06000000000000005,False,-0.11925496990974749,False,True
3,4,1.5600000000000636,1.6800000000000637,0.1200000000000001,True,0.4466584371143595,True,True
3,7,1.5600000000000636,1.5700000000000636,0.010000000000000009,False,-0.08535649677799984,True,False
3,8,1.5600000000000636,1.5600000000000636,0.0,False,-0.02447720780357887,False,True
3,10,1.5600000000000636,1.5600000000000636,0.0,True,0.2639423919862268,False,False
3,11,1.5600000000000636,2.7300000000000484,1.1699999999999848,True,0.36285728356202507,True,True
3,13,1.5600000000000636,2.280000000000058,0.7199999999999944,True,0.45564460535524115,True,True
3,14,1.5600000000000636,2.280000000000058,0.7199999999999944,True,0.4099202601721548,True,True
4,12,1.5600000000000636,1.5600000000000636,0.0,True,0.3812015007755407,False,False
6,12,1.5600000000000636,3.4200000000000337,1.8599999999999701,True,0.28520925232672967,True,True
8,12,1.5600000000000636,1.5600000000000636,0.0,True,0.2415213630232053,False,False
10,12,1.5600000000000636,2.130000000000061,0.5699999999999976,True,0.19250198903990934,True,True
12,14,1.5600000000000636,2.6900000000000492,1.1299999999999857,True,0.3569888199428844,True,True
