u,v,Kc_base,Kc_new,delta,pred,deriv_mean,is_braess,correct
0,2,0.5800000000000627,0.7300000000000628,0.15000000000000013,False,-0.07096273766069383,True,False
0,4,0.5800000000000627,0.6300000000000627,0.050000000000000044,True,0.001083875711781923,True,True
0,5,0.5800000000000627,0.6100000000000627,0.030000000000000027,False,-0.039008709086629345,True,False
0,8,0.5800000000000627,0.6100000000000627,0.030000000000000027,False,-0.007101393145092727,True,False
0,11,0.5800000000000627,0.6100000000000627,0.030000000000000027,False,-0.03937156907426287,True,False
7,8,0.5800000000000627,0.5900000000000627,0.010000000000000009,False,-0.016912602658596176,True,False
