edge,baseline_Kc,new_Kc,delta,is_braess
"(2, 11)",0.6000000000000365,0.9000000000000364,0.29999999999999993,False
"(4, 9)",0.6000000000000365,0.6000000000000365,0.0,False
"(2, 6)",0.6000000000000365,0.7000000000000365,0.09999999999999998,False
"(0, 2)",0.6000000000000365,0.6000000000000365,0.0,False
"(2, 7)",0.6000000000000365,0.6000000000000365,0.0,False
"(3, 8)",0.6000000000000365,0.7000000000000365,0.09999999999999998,False
"(0, 8)",0.6000000000000365,0.7000000000000365,0.09999999999999998,False
"(0, 3)",0.6000000000000365,0.6000000000000365,0.0,False
"(1, 6)",0.6000000000000365,0.6000000000000365,0.0,False
"(5, 7)",0.6000000000000365,0.6000000000000365,0.0,False
"(0, 1)",0.6000000000000365,0.6000000000000365,0.0,False
"(0, 5)",0.6000000000000365,0.6000000000000365,0.0,False
"(0, 4)",0.6000000000000365,0.6000000000000365,0.0,False
"(6, 7)",0.6000000000000365,0.6000000000000365,0.0,False
"(3, 6)",0.6000000000000365,0.6000000000000365,0.0,False
"(5, 6)",0.6000000000000365,0.6000000000000365,0.0,False
"(3, 4)",0.6000000000000365,0.6000000000000365,0.0,False
"(2, 9)",0.6000000000000365,0.6000000000000365,0.0,False
"(1, 7)",0.6000000000000365,0.6000000000000365,0.0,False
"(6, 11)",0.6000000000000365,0.9000000000000364,0.29999999999999993,False
"(0, 9)",0.6000000000000365,0.6000000000000365,0.0,False
